SKU,Parent Product SKU,Product Name,Category,Price Type,Unit,Price,Cost,Supplier Price,Product Tags,Inventory Type,Track Stock Levels,Barcode,Variant Name 1,Variant Value 1,Variant Name 2,Variant Value 2,Variant Name 3,Variant Value 3,Thongthan_Quantity,Warning Stock Level,Ideal Stock Level,Supplier,Tax Name,Store Credits,Kitchen Printer
#Required (Must be unique),,Required,Optional,Required (Fixed/Variable/Unit),Required if the price type is Unit. Leave this field empty if the price Type is either Fixed or Variable.,Optional; 0 by default,Optional,Optional(this field can only be modified if 'Fix Supplier Price' is selected for at least one store in Account Settings),Optional; use semicolon ( ; ) to separate multiple tags,Optional(Simple/Composite/Serialized; Simple by default if tracking inventory),Required (0/1),Optional; Must be unique if specified; use semicolon ( ; ) to separate multiple barcodes,,,,,,,Optional; 0 by default if tracking inventory,Optional,Optional,Optional; use semicolon ( ; ) to separate multiple suppliers,Optional,Optional,Optional
131015_11_SS,,131015_11_SS เชิ้ตผู้หญิงลายริ้วแขนยาว,Shirts,Fixed,,495.0,495.0,,,,1,131015_11_SS,,,,,,,0,,,,,,
131015_11_S,,131015_11_S เชิ้ตผู้หญิงลายริ้วแขนยาว,Shirts,Fixed,,495.0,495.0,,,,1,131015_11_S,,,,,,,0,,,,,,
131015_11_M,,131015_11_M เชิ้ตผู้หญิงลายริ้วแขนยาว,Shirts,Fixed,,495.0,495.0,,,,1,131015_11_M,,,,,,,0,,,,,,
131015_11_L,,131015_11_L เชิ้ตผู้หญิงลายริ้วแขนยาว,Shirts,Fixed,,495.0,495.0,,,,1,131015_11_L,,,,,,,0,,,,,,
131015_11_XL,,131015_11_XL เชิ้ตผู้หญิงลายริ้วแขนยาว,Shirts,Fixed,,495.0,495.0,,,,1,131015_11_XL,,,,,,,0,,,,,,
131015_11_2XL,,131015_11_2XL เชิ้ตผู้หญิงลายริ้วแขนยาว,Shirts,Fixed,,495.0,495.0,,,,1,131015_11_2XL,,,,,,,1,,,,,,
131015_11_3XL,,131015_11_3XL เชิ้ตผู้หญิงลายริ้วแขนยาว,Shirts,Fixed,,515.0,515.0,,,,1,131015_11_3XL,,,,,,,0,,,,,,
131065_5_SS,,131065_5_SS เชิ้ตผู้หญิงลายริ้วแขนยาว,Shirts,Fixed,,465.0,465.0,,,,1,131065_5_SS,,,,,,,0,,,,,,
131065_5_S,,131065_5_S เชิ้ตผู้หญิงลายริ้วแขนยาว,Shirts,Fixed,,465.0,465.0,,,,1,131065_5_S,,,,,,,51,,,,,,
131065_5_M,,131065_5_M เชิ้ตผู้หญิงลายริ้วแขนยาว,Shirts,Fixed,,465.0,465.0,,,,1,131065_5_M,,,,,,,78,,,,,,
131065_5_L,,131065_5_L เชิ้ตผู้หญิงลายริ้วแขนยาว,Shirts,Fixed,,465.0,465.0,,,,1,131065_5_L,,,,,,,74,,,,,,
131065_5_XL,,131065_5_XL เชิ้ตผู้หญิงลายริ้วแขนยาว,Shirts,Fixed,,465.0,465.0,,,,1,131065_5_XL,,,,,,,44,,,,,,
131065_5_2XL,,131065_5_2XL เชิ้ตผู้หญิงลายริ้วแขนยาว,Shirts,Fixed,,465.0,465.0,,,,1,131065_5_2XL,,,,,,,39,,,,,,
131065_5_3XL,,131065_5_3XL เชิ้ตผู้หญิงลายริ้วแขนยาว,Shirts,Fixed,,515.0,515.0,,,,1,131065_5_3XL,,,,,,,14,,,,,,
131445_0_SS,,131445_0_SS เชิ้ตผู้หญิงลายริ้วแขนยาว,Shirts,Fixed,,495.0,495.0,,,,1,131445_0_SS,,,,,,,0,,,,,,
131445_0_S,,131445_0_S เชิ้ตผู้หญิงลายริ้วแขนยาว,Shirts,Fixed,,495.0,495.0,,,,1,131445_0_S,,,,,,,18,,,,,,
131445_0_M,,131445_0_M เชิ้ตผู้หญิงลายริ้วแขนยาว,Shirts,Fixed,,495.0,495.0,,,,1,131445_0_M,,,,,,,23,,,,,,
131445_0_L,,131445_0_L เชิ้ตผู้หญิงลายริ้วแขนยาว,Shirts,Fixed,,495.0,495.0,,,,1,131445_0_L,,,,,,,24,,,,,,
131445_0_XL,,131445_0_XL เชิ้ตผู้หญิงลายริ้วแขนยาว,Shirts,Fixed,,495.0,495.0,,,,1,131445_0_XL,,,,,,,24,,,,,,
131445_0_2XL,,131445_0_2XL เชิ้ตผู้หญิงลายริ้วแขนยาว,Shirts,Fixed,,495.0,495.0,,,,1,131445_0_2XL,,,,,,,8,,,,,,
131445_0_3XL,,131445_0_3XL เชิ้ตผู้หญิงลายริ้วแขนยาว,Shirts,Fixed,,545.0,545.0,,,,1,131445_0_3XL,,,,,,,7,,,,,,
131571_0_SS,,131571_0_SS เชิ้ตผู้หญิงลายริ้วแขนยาว,Shirts,Fixed,,495.0,495.0,,,,1,131571_0_SS,,,,,,,0,,,,,,
131571_0_S,,131571_0_S เชิ้ตผู้หญิงลายริ้วแขนยาว,Shirts,Fixed,,495.0,495.0,,,,1,131571_0_S,,,,,,,0,,,,,,
131571_0_M,,131571_0_M เชิ้ตผู้หญิงลายริ้วแขนยาว,Shirts,Fixed,,495.0,495.0,,,,1,131571_0_M,,,,,,,0,,,,,,
131571_0_L,,131571_0_L เชิ้ตผู้หญิงลายริ้วแขนยาว,Shirts,Fixed,,495.0,495.0,,,,1,131571_0_L,,,,,,,0,,,,,,
131571_0_XL,,131571_0_XL เชิ้ตผู้หญิงลายริ้วแขนยาว,Shirts,Fixed,,495.0,495.0,,,,1,131571_0_XL,,,,,,,9,,,,,,
131571_0_2XL,,131571_0_2XL เชิ้ตผู้หญิงลายริ้วแขนยาว,Shirts,Fixed,,495.0,495.0,,,,1,131571_0_2XL,,,,,,,0,,,,,,
131571_0_3XL,,131571_0_3XL เชิ้ตผู้หญิงลายริ้วแขนยาว,Shirts,Fixed,,545.0,545.0,,,,1,131571_0_3XL,,,,,,,5,,,,,,
131571E_0_SS,,131571E_0_SS เชิ้ตผู้หญิงลายริ้วแขนยาว,Shirts,Fixed,,495.0,495.0,,,,1,131571E_0_SS,,,,,,,0,,,,,,
131571E_0_S,,131571E_0_S เชิ้ตผู้หญิงลายริ้วแขนยาว,Shirts,Fixed,,495.0,495.0,,,,1,131571E_0_S,,,,,,,7,,,,,,
131571E_0_M,,131571E_0_M เชิ้ตผู้หญิงลายริ้วแขนยาว,Shirts,Fixed,,495.0,495.0,,,,1,131571E_0_M,,,,,,,16,,,,,,
131571E_0_L,,131571E_0_L เชิ้ตผู้หญิงลายริ้วแขนยาว,Shirts,Fixed,,495.0,495.0,,,,1,131571E_0_L,,,,,,,0,,,,,,
131571E_0_XL,,131571E_0_XL เชิ้ตผู้หญิงลายริ้วแขนยาว,Shirts,Fixed,,495.0,495.0,,,,1,131571E_0_XL,,,,,,,0,,,,,,
131571E_0_2XL,,131571E_0_2XL เชิ้ตผู้หญิงลายริ้วแขนยาว,Shirts,Fixed,,495.0,495.0,,,,1,131571E_0_2XL,,,,,,,7,,,,,,
131571E_0_3XL,,131571E_0_3XL เชิ้ตผู้หญิงลายริ้วแขนยาว,Shirts,Fixed,,545.0,545.0,,,,1,131571E_0_3XL,,,,,,,4,,,,,,
134061_5_SS,,134061_5_SS เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,399.0,399.0,,,,1,134061_5_SS,,,,,,,0,,,,,,
134061_5_S,,134061_5_S เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,399.0,399.0,,,,1,134061_5_S,,,,,,,0,,,,,,
134061_5_M,,134061_5_M เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,399.0,399.0,,,,1,134061_5_M,,,,,,,0,,,,,,
134061_5_L,,134061_5_L เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,399.0,399.0,,,,1,134061_5_L,,,,,,,0,,,,,,
134061_5_XL,,134061_5_XL เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,399.0,399.0,,,,1,134061_5_XL,,,,,,,60,,,,,,
134061_5_2XL,,134061_5_2XL เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,399.0,399.0,,,,1,134061_5_2XL,,,,,,,0,,,,,,
134061_5_3XL,,134061_5_3XL เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,450.0,450.0,,,,1,134061_5_3XL,,,,,,,3,,,,,,
134061E_5_SS,,134061E_5_SS เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,399.0,399.0,,,,1,134061E_5_SS,,,,,,,0,,,,,,
134061E_5_S,,134061E_5_S เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,399.0,399.0,,,,1,134061E_5_S,,,,,,,0,,,,,,
134061E_5_M,,134061E_5_M เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,399.0,399.0,,,,1,134061E_5_M,,,,,,,42,,,,,,
134061E_5_L,,134061E_5_L เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,399.0,399.0,,,,1,134061E_5_L,,,,,,,32,,,,,,
134061E_5_XL,,134061E_5_XL เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,399.0,399.0,,,,1,134061E_5_XL,,,,,,,46,,,,,,
134061E_5_2XL,,134061E_5_2XL เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,399.0,399.0,,,,1,134061E_5_2XL,,,,,,,32,,,,,,
134061E_5_3XL,,134061E_5_3XL เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,450.0,450.0,,,,1,134061E_5_3XL,,,,,,,0,,,,,,
134067E_5_SS,,134067E_5_SS เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,399.0,399.0,,,,1,134067E_5_SS,,,,,,,15,,,,,,
134067E_5_S,,134067E_5_S เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,399.0,399.0,,,,1,134067E_5_S,,,,,,,11,,,,,,
134067E_5_M,,134067E_5_M เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,399.0,399.0,,,,1,134067E_5_M,,,,,,,20,,,,,,
134067E_5_L,,134067E_5_L เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,399.0,399.0,,,,1,134067E_5_L,,,,,,,32,,,,,,
134067E_5_XL,,134067E_5_XL เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,399.0,399.0,,,,1,134067E_5_XL,,,,,,,11,,,,,,
134067E_5_2XL,,134067E_5_2XL เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,399.0,399.0,,,,1,134067E_5_2XL,,,,,,,13,,,,,,
134067E_5_3XL,,134067E_5_3XL เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,450.0,450.0,,,,1,134067E_5_3XL,,,,,,,4,,,,,,
134078_4_SS,,134078_4_SS เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,495.0,495.0,,,,1,134078_4_SS,,,,,,,0,,,,,,
134078_4_S,,134078_4_S เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,495.0,495.0,,,,1,134078_4_S,,,,,,,10,,,,,,
134078_4_M,,134078_4_M เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,495.0,495.0,,,,1,134078_4_M,,,,,,,17,,,,,,
134078_4_L,,134078_4_L เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,495.0,495.0,,,,1,134078_4_L,,,,,,,13,,,,,,
134078_4_XL,,134078_4_XL เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,495.0,495.0,,,,1,134078_4_XL,,,,,,,10,,,,,,
134078_4_2XL,,134078_4_2XL เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,495.0,495.0,,,,1,134078_4_2XL,,,,,,,8,,,,,,
134078_4_3XL,,134078_4_3XL เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,545.0,545.0,,,,1,134078_4_3XL,,,,,,,4,,,,,,
134078E_4_SS,,134078E_4_SS เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,495.0,495.0,,,,1,134078E_4_SS,,,,,,,0,,,,,,
134078E_4_S,,134078E_4_S เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,495.0,495.0,,,,1,134078E_4_S,,,,,,,2,,,,,,
134078E_4_M,,134078E_4_M เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,495.0,495.0,,,,1,134078E_4_M,,,,,,,5,,,,,,
134078E_4_L,,134078E_4_L เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,495.0,495.0,,,,1,134078E_4_L,,,,,,,5,,,,,,
134078E_4_XL,,134078E_4_XL เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,495.0,495.0,,,,1,134078E_4_XL,,,,,,,3,,,,,,
134078E_4_2XL,,134078E_4_2XL เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,495.0,495.0,,,,1,134078E_4_2XL,,,,,,,0,,,,,,
134078E_4_3XL,,134078E_4_3XL เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,545.0,545.0,,,,1,134078E_4_3XL,,,,,,,0,,,,,,
134086_5_SS,,134086_5_SS เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,545.0,545.0,,,,1,134086_5_SS,,,,,,,0,,,,,,
134086_5_S,,134086_5_S เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,545.0,545.0,,,,1,134086_5_S,,,,,,,10,,,,,,
134086_5_M,,134086_5_M เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,545.0,545.0,,,,1,134086_5_M,,,,,,,19,,,,,,
134086_5_L,,134086_5_L เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,545.0,545.0,,,,1,134086_5_L,,,,,,,13,,,,,,
134086_5_XL,,134086_5_XL เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,545.0,545.0,,,,1,134086_5_XL,,,,,,,7,,,,,,
134086_5_2XL,,134086_5_2XL เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,545.0,545.0,,,,1,134086_5_2XL,,,,,,,0,,,,,,
134086_5_3XL,,134086_5_3XL เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,545.0,545.0,,,,1,134086_5_3XL,,,,,,,0,,,,,,
134087_5_SS,,134087_5_SS เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,545.0,545.0,,,,1,134087_5_SS,,,,,,,0,,,,,,
134087_5_S,,134087_5_S เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,545.0,545.0,,,,1,134087_5_S,,,,,,,3,,,,,,
134087_5_M,,134087_5_M เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,545.0,545.0,,,,1,134087_5_M,,,,,,,10,,,,,,
134087_5_L,,134087_5_L เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,545.0,545.0,,,,1,134087_5_L,,,,,,,9,,,,,,
134087_5_XL,,134087_5_XL เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,545.0,545.0,,,,1,134087_5_XL,,,,,,,5,,,,,,
134087_5_2XL,,134087_5_2XL เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,545.0,545.0,,,,1,134087_5_2XL,,,,,,,2,,,,,,
134087_5_3XL,,134087_5_3XL เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,545.0,545.0,,,,1,134087_5_3XL,,,,,,,0,,,,,,
134088_5_SS,,134088_5_SS เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,545.0,545.0,,,,1,134088_5_SS,,,,,,,0,,,,,,
134088_5_S,,134088_5_S เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,545.0,545.0,,,,1,134088_5_S,,,,,,,5,,,,,,
134088_5_M,,134088_5_M เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,545.0,545.0,,,,1,134088_5_M,,,,,,,22,,,,,,
134088_5_L,,134088_5_L เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,545.0,545.0,,,,1,134088_5_L,,,,,,,14,,,,,,
134088_5_XL,,134088_5_XL เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,545.0,545.0,,,,1,134088_5_XL,,,,,,,7,,,,,,
134088_5_2XL,,134088_5_2XL เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,545.0,545.0,,,,1,134088_5_2XL,,,,,,,0,,,,,,
134088_5_3XL,,134088_5_3XL เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,545.0,545.0,,,,1,134088_5_3XL,,,,,,,0,,,,,,
134090_0_SS,,134090_0_SS เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,495.0,495.0,,,,1,134090_0_SS,,,,,,,0,,,,,,
134090_0_S,,134090_0_S เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,495.0,495.0,,,,1,134090_0_S,,,,,,,9,,,,,,
134090_0_M,,134090_0_M เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,495.0,495.0,,,,1,134090_0_M,,,,,,,25,,,,,,
134090_0_L,,134090_0_L เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,495.0,495.0,,,,1,134090_0_L,,,,,,,13,,,,,,
134090_0_XL,,134090_0_XL เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,495.0,495.0,,,,1,134090_0_XL,,,,,,,12,,,,,,
134090_0_2XL,,134090_0_2XL เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,495.0,495.0,,,,1,134090_0_2XL,,,,,,,5,,,,,,
134090_0_3XL,,134090_0_3XL เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,545.0,545.0,,,,1,134090_0_3XL,,,,,,,2,,,,,,
134105_2_SS,,134105_2_SS เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,525.0,525.0,,,,1,134105_2_SS,,,,,,,0,,,,,,
134105_2_S,,134105_2_S เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,525.0,525.0,,,,1,134105_2_S,,,,,,,0,,,,,,
134105_2_M,,134105_2_M เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,525.0,525.0,,,,1,134105_2_M,,,,,,,0,,,,,,
134105_2_L,,134105_2_L เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,525.0,525.0,,,,1,134105_2_L,,,,,,,0,,,,,,
134105_2_XL,,134105_2_XL เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,525.0,525.0,,,,1,134105_2_XL,,,,,,,14,,,,,,
134105_2_2XL,,134105_2_2XL เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,525.0,525.0,,,,1,134105_2_2XL,,,,,,,12,,,,,,
134105_2_3XL,,134105_2_3XL เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,565.0,565.0,,,,1,134105_2_3XL,,,,,,,3,,,,,,
134134_0_SS,,134134_0_SS เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,525.0,525.0,,,,1,134134_0_SS,,,,,,,0,,,,,,
134134_0_S,,134134_0_S เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,525.0,525.0,,,,1,134134_0_S,,,,,,,0,,,,,,
134134_0_M,,134134_0_M เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,525.0,525.0,,,,1,134134_0_M,,,,,,,0,,,,,,
134134_0_L,,134134_0_L เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,525.0,525.0,,,,1,134134_0_L,,,,,,,17,,,,,,
134134_0_XL,,134134_0_XL เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,525.0,525.0,,,,1,134134_0_XL,,,,,,,14,,,,,,
134134_0_2XL,,134134_0_2XL เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,525.0,525.0,,,,1,134134_0_2XL,,,,,,,12,,,,,,
134134_0_3XL,,134134_0_3XL เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,565.0,565.0,,,,1,134134_0_3XL,,,,,,,3,,,,,,
134134E_0_SS,,134134E_0_SS เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,525.0,525.0,,,,1,134134E_0_SS,,,,,,,0,,,,,,
134134E_0_S,,134134E_0_S เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,525.0,525.0,,,,1,134134E_0_S,,,,,,,0,,,,,,
134134E_0_M,,134134E_0_M เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,525.0,525.0,,,,1,134134E_0_M,,,,,,,0,,,,,,
134134E_0_L,,134134E_0_L เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,525.0,525.0,,,,1,134134E_0_L,,,,,,,7,,,,,,
134134E_0_XL,,134134E_0_XL เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,525.0,525.0,,,,1,134134E_0_XL,,,,,,,2,,,,,,
134134E_0_2XL,,134134E_0_2XL เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,525.0,525.0,,,,1,134134E_0_2XL,,,,,,,3,,,,,,
134134E_0_3XL,,134134E_0_3XL เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,565.0,565.0,,,,1,134134E_0_3XL,,,,,,,1,,,,,,
134139_23_SS,,134139_23_SS เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,399.0,399.0,,,,1,134139_23_SS,,,,,,,0,,,,,,
134139_23_S,,134139_23_S เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,399.0,399.0,,,,1,134139_23_S,,,,,,,25,,,,,,
